iter	Passed	Remaining
243	638	1977
244	639	1972
245	641	1967
246	643	1962
247	645	1956
248	646	1949
249	647	1943
250	649	1937
251	650	1930
252	651	1924
253	653	1918
254	656	1917
255	657	1911
256	659	1905
257	660	1899
258	661	1893
259	665	1893
260	666	1887
261	668	1883
262	670	1879
263	675	1881
264	676	1876
265	677	1870
266	679	1864
267	680	1859
268	682	1855
269	685	1853
270	689	1854
271	691	1849
272	693	1845
273	697	1848
274	699	1843
275	701	1839
276	708	1849
277	711	1847
278	712	1841
279	713	1835
280	715	1829
281	716	1823
282	718	1819
283	720	1816
284	722	1812
285	723	1807
286	725	1801
287	726	1795
288	727	1789
289	728	1783
290	729	1777
291	730	1771
292	734	1772
293	736	1767
294	737	1763
295	739	1758
296	741	1754
297	742	1748
298	743	1743
299	745	1738
300	747	1735
301	750	1734
302	753	1732
303	755	1730
304	758	1728
305	762	1729
306	765	1727
307	767	1723
308	768	1718
309	770	1714
310	771	1709
311	772	1704
312	773	1698
313	775	1694
314	778	1693
315	780	1690
316	783	1687
317	785	1683
318	786	1679
319	791	1682
320	795	1682
321	798	1681
322	800	1677
323	801	1672
324	803	1667
325	806	1666
326	810	1667
327	811	1663
328	814	1661
329	816	1657
330	817	1652
331	820	1651
332	822	1647
333	824	1643
334	826	1641
335	828	1636
336	829	1632
337	836	1638
338	838	1635
339	840	1631
340	843	1630
341	845	1626
342	851	1630
343	853	1626
344	854	1622
345	856	1618
346	857	1614
347	859	1609
348	861	1606
349	862	1602
350	866	1601
351	867	1597
352	869	1593
353	870	1589
354	874	1589
355	876	1585
356	882	1589
357	884	1586
358	899	1606
359	901	1602
360	903	1598
361	919	1620
362	922	1618
363	924	1616
364	929	1616
365	931	1614
366	933	1610
367	935	1607
368	941	1609
369	946	1611
370	950	1610
371	952	1607
372	954	1604
373	956	1601
374	960	1600
375	963	1599
376	966	1597
377	968	1593
378	969	1589
379	971	1585
380	975	1584
381	976	1580
382	980	1579
383	982	1576
384	986	1575
385	991	1577
386	995	1576
387	998	1575
388	1000	1571
389	1004	1570
390	1008	1570
391	1010	1566
392	1012	1563
393	1013	1558
394	1014	1554
395	1016	1551
396	1023	1554
397	1029	1556
398	1031	1553
399	1044	1566
400	1046	1563
401	1049	1560
402	1052	1558
403	1055	1556
404	1057	1553
405	1060	1550
406	1062	1548
407	1103	1601
408	1105	1598
409	1119	1610
410	1122	1608
411	1125	1605
412	1131	1608
413	1133	1604
414	1135	1601
415	1137	1597
416	1139	1593
417	1141	1589
418	1146	1589
419	1149	1587
420	1198	1648
421	1201	1645
422	1210	1650
423	1212	1647
424	1214	1643
425	1218	1642
426	1220	1638
427	1226	1638
428	1230	1637
429	1232	1633
430	1234	1629
431	1246	1639
432	1250	1637
433	1253	1634
434	1284	1667
435	1292	1672
436	1295	1668
437	1296	1664
438	1298	1659
439	1300	1655
440	1302	1650
441	1306	1649
442	1309	1646
443	1311	1641
444	1313	1637
445	1315	1634
446	1319	1632
447	1335	1645
448	1339	1643
449	1341	1639
450	1343	1635
451	1345	1631
452	1348	1628
453	1353	1627
454	1357	1625
455	1359	1621
456	1361	1617
457	1363	1613
458	1367	1612
459	1385	1626
460	1388	1623
461	1390	1619
462	1392	1615
463	1407	1626
464	1409	1622
465	1413	1620
466	1417	1617
467	1419	1614
468	1423	1611
469	1428	1610
470	1439	1617
471	1444	1615
472	1449	1615
473	1452	1611
474	1455	1609
475	1463	1611
476	1465	1607
477	1468	1603
478	1470	1599
479	1471	1594
480	1476	1593
481	1481	1591
482	1517	1623
483	1521	1622
484	1530	1625
485	1532	1621
486	1535	1616
487	1537	1612
488	1542	1611
489	1545	1608
490	1547	1603
491	1549	1600
492	1554	1598
493	1557	1595
494	1582	1614
495	1587	1612
496	1590	1609
497	1593	1606
498	1596	1603
499	1602	1602
500	1606	1600
501	1609	1596
502	1613	1593
503	1615	1589
504	1638	1606
505	1653	1613
506	1656	1610
507	1658	1606
508	1662	1603
509	1667	1601
510	1670	1598
511	1674	1595
512	1677	1592
513	1682	1590
514	1727	1626
515	1730	1623
516	1733	1619
517	1735	1614
518	1737	1610
519	1739	1605
520	1741	1600
521	1743	1596
522	1749	1595
523	1752	1591
524	1753	1586
525	1755	1582
526	1784	1601
527	1786	1597
528	1789	1593
529	1791	1588
530	1796	1586
531	1798	1582
532	1800	1577
533	1802	1572
534	1803	1567
535	1805	1563
536	1808	1558
537	1811	1555
538	1812	1550
539	1814	1545
540	1816	1541
541	1818	1536
542	1819	1531
543	1821	1526
544	1848	1543
545	1851	1539
546	1861	1541
547	1864	1538
548	1879	1543
549	1881	1539
550	1883	1534
551	1885	1530
552	1895	1531
553	1897	1527
554	1900	1523
555	1902	1519
556	1911	1520
557	1913	1516
558	1917	1512
559	1922	1510
560	1929	1509
561	1935	1508
562	1941	1507
563	1945	1503
564	1956	1506
565	1969	1510
566	1974	1507
567	1980	1506
568	1982	1502
569	1987	1499
570	1991	1496
571	2020	1511
572	2023	1507
573	2025	1502
574	2032	1502
575	2036	1499
576	2038	1494
577	2043	1491
578	2045	1487
579	2049	1483
580	2052	1479
581	2063	1482
582	2066	1477
583	2078	1480
584	2080	1475
585	2082	1471
586	2085	1466
587	2087	1462
588	2093	1461
589	2097	1457
590	2100	1453
591	2109	1454
592	2111	1449
593	2114	1445
594	2115	1440
595	2117	1435
596	2118	1430
597	2127	1430
598	2130	1426
599	2133	1422
600	2137	1419
601	2139	1414
602	2142	1410
603	2143	1405
604	2145	1400
605	2146	1395
606	2148	1390
607	2149	1386
608	2159	1386
609	2161	1382
610	2163	1377
611	2164	1372
612	2169	1369
613	2172	1365
614	2174	1361
615	2175	1356
616	2177	1351
617	2178	1346
618	2180	1342
619	2183	1338
620	2186	1334
621	2187	1329
622	2189	1324
623	2190	1320
624	2192	1315
625	2196	1312
626	2199	1308
627	2201	1304
628	2203	1299
629	2205	1295
630	2207	1290
631	2211	1287
632	2213	1283
633	2215	1278
634	2217	1274
635	2233	1278
636	2237	1275
637	2239	1270
638	2245	1268
639	2247	1264
640	2254	1262
641	2259	1260
642	2261	1255
643	2265	1252
644	2268	1248
645	2269	1243
646	2275	1241
647	2276	1236
648	2278	1232
649	2280	1228
650	2282	1223
651	2284	1219
652	2289	1216
653	2290	1211
654	2292	1207
655	2295	1203
656	2296	1198
657	2298	1194
658	2299	1189
659	2301	1185
660	2304	1181
661	2305	1177
662	2307	1172
663	2309	1168
664	2310	1164
665	2316	1161
666	2321	1159
667	2325	1155
668	2327	1151
669	2329	1147
670	2331	1143
671	2336	1140
672	2338	1136
673	2340	1132
674	2342	1127
675	2343	1123
676	2346	1119
677	2352	1117
678	2354	1113
679	2356	1108
680	2358	1104
681	2359	1100
682	2361	1095
683	2363	1091
684	2364	1087
685	2366	1083
686	2376	1082
687	2381	1079
688	2384	1076
689	2386	1072
690	2392	1069
691	2398	1067
692	2400	1063
693	2405	1060
694	2413	1059
695	2415	1055
696	2417	1050
697	2419	1046
698	2420	1042
699	2421	1037
700	2423	1033
701	2427	1030
702	2428	1026
703	2430	1021
704	2431	1017
705	2432	1013
706	2434	1008
707	2438	1005
708	2440	1001
709	2441	997
710	2442	992
711	2444	988
712	2445	984
713	2446	980
714	2449	976
715	2451	972
716	2454	968
717	2456	964
718	2457	960
719	2458	956
720	2460	952
721	2461	947
722	2463	943
723	2464	939
724	2467	935
725	2469	932
726	2471	927
727	2472	923
728	2474	919
729	2476	915
730	2477	911
731	2479	907
732	2482	904
733	2484	900
734	2486	896
735	2487	892
736	2488	888
737	2490	884
738	2491	880
739	2493	876
740	2497	872
741	2499	868
742	2500	864
743	2501	860
744	2503	856
745	2504	852
746	2506	848
747	2507	844
748	2509	840
749	2513	837
750	2515	833
751	2516	829
752	2518	826
753	2520	822
754	2522	818
755	2524	814
756	2527	811
757	2535	809
758	2537	805
759	2541	802
760	2543	798
761	2544	794
762	2546	790
763	2547	787
764	2549	783
765	2550	779
766	2552	775
767	2554	771
768	2556	767
769	2558	764
770	2559	760
771	2560	756
772	2562	752
773	2564	748
774	2566	744
775	2568	741
776	2570	737
777	2571	733
778	2573	730
779	2574	726
780	2576	722
781	2577	718
782	2579	714
783	2582	711
784	2584	707
785	2586	704
786	2587	700
787	2589	696
788	2590	692
789	2592	689
790	2593	685
791	2595	681
792	2599	678
793	2601	675
794	2603	671
795	2605	667
796	2607	664
797	2609	660
798	2614	657
799	2616	654
800	2617	650
801	2619	646
802	2621	643
803	2622	639
804	2625	635
805	2630	633
806	2632	629
807	2633	625
808	2636	622
809	2637	618
810	2639	615
811	2640	611
812	2644	608
813	2646	604
814	2647	601
815	2649	597
816	2650	593
817	2652	590
818	2654	586
819	2658	583
820	2661	580
821	2662	576
822	2664	572
823	2665	569
824	2667	565
825	2669	562
826	2670	558
827	2674	555
828	2676	552
829	2678	548
830	2680	545
831	2681	541
832	2684	538
833	2686	534
834	2690	531
835	2692	528
836	2694	524
837	2695	521
838	2696	517
839	2698	513
840	2700	510
841	2701	506
842	2704	503
843	2706	500
844	2708	496
845	2709	493
846	2710	489
847	2711	486
848	2713	482
849	2714	479
850	2715	475
851	2721	472
852	2723	469
853	2724	465
854	2726	462
855	2727	458
856	2728	455
857	2730	451
858	2731	448
859	2734	445
860	2736	441
861	2737	438
862	2739	434
863	2740	431
864	2742	427
865	2743	424
866	2745	421
867	2746	417
868	2749	414
869	2751	411
870	2753	407
871	2754	404
872	2755	400
873	2757	397
874	2759	394
875	2760	390
876	2764	387
877	2767	384
878	2769	381
879	2770	377
880	2772	374
881	2773	371
882	2774	367
883	2776	364
884	2779	361
885	2781	357
886	2782	354
887	2784	351
888	2785	347
889	2787	344
890	2788	341
891	2793	338
892	2796	335
893	2798	331
894	2799	328
895	2801	325
896	2810	322
897	2812	319
898	2813	316
899	2815	312
900	2816	309
901	2818	306
902	2820	302
903	2823	299
904	2825	296
905	2827	293
906	2828	290
907	2829	286
908	2831	283
909	2832	280
910	2833	276
911	2835	273
912	2838	270
913	2839	267
914	2841	263
915	2843	260
916	2844	257
917	2846	254
918	2848	251
919	2849	247
920	2853	244
921	2855	241
922	2856	238
923	2857	235
924	2858	231
925	2860	228
926	2861	225
927	2862	222
928	2864	218
929	2865	215
930	2868	212
931	2870	209
932	2872	206
933	2874	203
934	2876	199
935	2877	196
936	2878	193
937	2880	190
938	2883	187
939	2885	184
940	2887	181
941	2888	177
942	2889	174
943	2890	171
944	2893	168
945	2895	165
946	2901	162
947	2902	159
948	2903	156
949	2905	152
950	2906	149
951	2907	146
952	2909	143
953	2911	140
954	2914	137
955	2916	134
956	2917	131
957	2919	128
958	2921	124
959	2922	121
960	2924	118
961	2928	115
962	2930	112
963	2931	109
964	2933	106
965	2934	103
966	2935	100
967	2936	97
968	2938	94
969	2939	90
970	2943	87
971	2945	84
972	2946	81
973	2947	78
974	2949	75
975	2950	72
976	2951	69
977	2953	66
978	2954	63
979	2958	60
980	2963	57
981	2966	54
982	2968	51
983	2972	48
984	2975	45
985	2976	42
986	2978	39
987	2979	36
988	2981	33
989	2982	30
990	2984	27
991	2985	24
992	2987	21
993	2989	18
994	2990	15
995	2992	12
996	2994	9
997	2996	6
998	2997	3
999	3001	0
